name.plant,IsChildTaxonOf,name.plant.agg,target.species,target.species.agg
Aphanes arvensis,Aphanes,Aphanes arvensis,0,0
Arabidopsis thaliana,Arabidopsis,Arabidopsis thaliana,1,1
Arabis hirsuta,Arabis hirsuta agg.,Arabis hirsuta agg.,1,1
Arctium tomentosum,Arctium,Arctium tomentosum,0,0
Arenaria serpyllifolia s. l.,Arenaria serpyllifolia agg.,Arenaria serpyllifolia agg.,1,1
Armeria maritima s. l.,Armeria,Armeria maritima s. l.,1,1
Arrhenatherum elatius,Arrhenatherum,Arrhenatherum elatius,1,1
Artemisia vulgaris,Artemisia vulgaris agg.,Artemisia vulgaris agg.,0,0
Asperula cynanchica,Asperula,Asperula cynanchica,1,1
Asperula tinctoria,Asperula,Asperula tinctoria,1,1
Aster amellus,Aster,Aster amellus,1,1
Astragalus danicus,Astragalus,Astragalus danicus,1,1
Astragalus exscapus,Astragalus,Astragalus exscapus,1,1
Astragalus glycyphyllos,Astragalus,Astragalus glycyphyllos,0,0
Barbarea stricta,Barbarea,Barbarea stricta,0,0
Barbarea vulgaris s. l.,Barbarea,Barbarea vulgaris s. l.,0,0
Bellis perennis,Bellis,Bellis perennis,1,1
Berberis vulgaris,Berberis,Berberis vulgaris,0,0
Betonica officinalis,Betonica,Betonica officinalis,1,1
Betula pendula,Betula,Betula pendula,0,0
Bistorta officinalis,Bistorta,Bistorta officinalis,1,1
Bolboschoenus maritimus s. str.,Bolboschoenus maritimus agg.,Bolboschoenus maritimus agg.,0,0
Brachypodium pinnatum,Brachypodium pinnatum agg.,Brachypodium pinnatum agg.,1,1
Brachypodium sylvaticum,Brachypodium,Brachypodium sylvaticum,0,0
Briza media,Briza,Briza media,1,1
Bromus arvensis,Bromus,Bromus arvensis,0,0
Bromus erectus,Bromus,Bromus erectus,1,1
Bromus hordeaceus,Bromus hordeaceus agg.,Bromus hordeaceus agg.,1,1
Bromus inermis,Bromus,Bromus inermis,0,0
Bromus japonicus,Bromus,Bromus japonicus,0,0
Bromus racemosus,Bromus racemosus agg.,Bromus racemosus agg.,1,1
Bromus sterilis,Bromus,Bromus sterilis,0,0
Bromus tectorum,Bromus,Bromus tectorum,1,1
Buglossoides arvensis s. str.,Buglossoides arvensis s. l.,Buglossoides arvensis s. str.,0,0
Buphthalmum salicifolium,Buphthalmum,Buphthalmum salicifolium,1,1
Bupleurum falcatum,Bupleurum,Bupleurum falcatum,1,1
Calamagrostis canescens,Calamagrostis canescens agg.,Calamagrostis canescens agg.,1,1
Calamagrostis epigejos,Calamagrostis,Calamagrostis epigejos,0,0
Caltha palustris,Caltha,Caltha palustris,1,1
Calystegia sepium,Calystegia sepium agg.,Calystegia sepium agg.,0,0
Camelina microcarpa,Camelina sativa agg.,Camelina sativa agg.,1,1
Camelina sativa s. str.,Camelina sativa agg.,Camelina sativa agg.,0,1
Campanula glomerata,Campanula,Campanula glomerata,1,1
Campanula patula,Campanula,Campanula patula,1,1
Campanula rapunculoides,Campanula,Campanula rapunculoides,1,1
Campanula rotundifolia s. str.,Campanula rotundifolia agg.,Campanula rotundifolia agg.,1,1
Campanula trachelium,Campanula,Campanula trachelium,0,0
Capsella bursa-pastoris,Capsella,Capsella bursa-pastoris,0,0
Cardamine pratensis s. l.,Cardamine pratensis agg.,Cardamine pratensis agg.,1,1
Carduus acanthoides,Carduus,Carduus acanthoides,0,0
Carduus nutans,Carduus nutans agg.,Carduus nutans agg.,0,0
Carex,Cyperaceae,Carex,0,0
Carex acuta,Carex acuta agg.,Carex acuta agg.,1,1
Carex acutiformis,Carex,Carex acutiformis,1,1
Carex brizoides,Carex,Carex brizoides,0,0
Carex canescens,Carex canescens agg.,Carex canescens agg.,1,1
Carex caryophyllea,Carex,Carex caryophyllea,1,1
Carex disticha,Carex,Carex disticha,1,1
Carex elytroides,Carex,Carex elytroides,0,0
Carex flacca,Carex,Carex flacca,1,1
Carex flava agg.,Carex,Carex flava agg.,1,1
Carex flava s. str.,Carex flava agg.,Carex flava agg.,1,1
Carex hirta,Carex,Carex hirta,0,0
Carex humilis,Carex,Carex humilis,1,1
