name.plant,IsChildTaxonOf,name.plant.agg,target.species,target.species.agg
Potentilla recta,Potentilla,Potentilla recta,0,0
Potentilla reptans,Potentilla,Potentilla reptans,0,0
Potentilla verna,Potentilla verna agg.,Potentilla verna agg.,1,1
Primula elatior,Primula,Primula elatior,1,1
Primula veris,Primula,Primula veris,1,1
Prunella grandiflora,Prunella,Prunella grandiflora,1,1
Prunella vulgaris,Prunella,Prunella vulgaris,1,1
Prunus,Rosaceae,Prunus,0,0
Prunus avium,Prunus,Prunus avium,0,0
Prunus mahaleb,Prunus,Prunus mahaleb,0,0
Prunus padus,Prunus,Prunus padus,0,0
Prunus serotina,Prunus,Prunus serotina,0,0
Prunus spinosa s. str.,Prunus spinosa agg.,Prunus spinosa agg.,0,0
Pulicaria dysenterica,Pulicaria,Pulicaria dysenterica,1,1
Pulsatilla vulgaris s. str.,Pulsatilla vulgaris s. l.,Pulsatilla vulgaris s. str.,1,1
Pyrus communis,Pyrus communis agg.,Pyrus communis agg.,0,0
Pyrus pyraster,Pyrus communis agg.,Pyrus communis agg.,0,0
Quercus,Fagaceae,Quercus,0,0
Quercus robur,Quercus,Quercus robur,0,0
Quercus rubra,Quercus,Quercus rubra,0,0
Ranunculus,Ranunculaceae,Ranunculus,0,0
Ranunculus acris,Ranunculus acris agg.,Ranunculus acris agg.,1,1
Ranunculus auricomus agg.,Ranunculus,Ranunculus auricomus agg.,1,1
Ranunculus bulbosus,Ranunculus,Ranunculus bulbosus,1,1
Ranunculus flammula s. str.,Ranunculus flammula agg.,Ranunculus flammula agg.,1,1
Ranunculus polyanthemos s. l.,Ranunculus,Ranunculus polyanthemos s. l.,1,1
Ranunculus repens,Ranunculus,Ranunculus repens,1,1
Reseda lutea,Reseda,Reseda lutea,0,0
Rhamnus cathartica,Rhamnus,Rhamnus cathartica,0,0
Rhinanthus alectorolophus,Rhinanthus,Rhinanthus alectorolophus,1,1
Rhinanthus minor,Rhinanthus,Rhinanthus minor,1,1
Rhinanthus serotinus s. l.,Rhinanthus,Rhinanthus serotinus s. l.,0,0
Rorippa anceps,Rorippa,Rorippa anceps,0,0
Rorippa palustris,Rorippa islandica agg.,Rorippa islandica agg.,0,0
Rosa,Rosaceae,Rosa,0,0
Rosa canina s. l.,Rosa,Rosa canina s. l.,0,0
Rosa glauca,Rosa,Rosa glauca,0,0
Rosa rubiginosa,Rosa rubiginosa agg.,Rosa rubiginosa agg.,0,0
Rosa spinosissima,Rosa,Rosa spinosissima,0,0
Rubus,Rosaceae,Rubus,0,0
Rubus caesius,Rubus sect. Caesii,Rubus caesius,0,0
Rubus sect. Rubus,Rubus subg. Rubus,Rubus sect. Rubus,0,0
Rumex,Polygonaceae,Rumex,0,0
Rumex acetosa,Rumex,Rumex acetosa,1,1
Rumex acetosella s. l.,Rumex,Rumex acetosella s. l.,1,1
Rumex crispus,Rumex,Rumex crispus,1,1
Rumex obtusifolius,Rumex,Rumex obtusifolius,0,0
Rumex rugosus,Rumex,Rumex rugosus,0,0
Rumex stenophyllus,Rumex,Rumex stenophyllus,0,0
Rumex thyrsiflorus,Rumex,Rumex thyrsiflorus,1,1
Salix aurita,Salix,Salix aurita,0,0
Salix caprea,Salix,Salix caprea,0,0
Salix myrsinifolia,Salix,Salix myrsinifolia,0,0
Salix purpurea,Salix,Salix purpurea,0,0
Salvia nemorosa,Salvia,Salvia nemorosa,1,1
Salvia pratensis,Salvia,Salvia pratensis,1,1
Salvia verticillata,Salvia,Salvia verticillata,0,0
Sanguisorba minor s. l.,Sanguisorba,Sanguisorba minor s. l.,1,1
Sanguisorba officinalis,Sanguisorba,Sanguisorba officinalis,1,1
Saxifraga granulata,Saxifraga,Saxifraga granulata,1,1
Saxifraga tridactylites,Saxifraga,Saxifraga tridactylites,1,1
Scabiosa,Caprifoliaceae,Scabiosa,0,0
Scabiosa canescens,Scabiosa,Scabiosa canescens,1,1
Scabiosa columbaria,Scabiosa columbaria agg.,Scabiosa columbaria agg.,1,1
Scabiosa ochroleuca,Scabiosa,Scabiosa ochroleuca,1,1
Scirpus sylvaticus,Scirpus,Scirpus sylvaticus,1,1
Scorzonera purpurea,Scorzonera,Scorzonera purpurea,1,1
Scorzoneroides autumnalis,Scorzoneroides,Scorzoneroides autumnalis,1,1
Securigera varia,Securigera,Securigera varia,0,0
Sedum sexangulare,Sedum,Sedum sexangulare,1,1
Selinum carvifolia,Selinum,Selinum carvifolia,1,1
Selinum dubium,Selinum,Selinum dubium,1,1
Senecio,Asteraceae,Senecio,0,0
Senecio aquaticus s. str.,Senecio aquaticus agg.,Senecio aquaticus agg.,1,1
Senecio inaequidens,Senecio,Senecio inaequidens,0,0
Senecio jacobaea,Senecio,Senecio jacobaea,1,1
Senecio paludosus,Senecio,Senecio paludosus,1,1
Senecio vernalis,Senecio,Senecio vernalis,0,0
Serratula tinctoria s. l.,Serratula,Serratula tinctoria s. l.,1,1
Seseli annuum,Seseli,Seseli annuum,1,1
Seseli hippomarathrum,Seseli,Seseli hippomarathrum,1,1
Seseli libanotis,Seseli,Seseli libanotis,1,1
Sesleria caerulea,Sesleria,Sesleria caerulea,1,1
Silaum silaus,Silaum,Silaum silaus,1,1
Silene dioica,Silene,Silene dioica,0,0
Silene latifolia subsp. alba,Silene latifolia,Silene latifolia subsp. alba,0,0
Silene nutans,Silene,Silene nutans,0,0
Silene otites,Silene,Silene otites,1,1
Silene vulgaris,Silene,Silene vulgaris,1,1
Sisymbrium loeselii,Sisymbrium,Sisymbrium loeselii,0,0
Sisymbrium officinale,Sisymbrium,Sisymbrium officinale,0,0
Solidago canadensis,Solidago,Solidago canadensis,0,0
Solidago gigantea,Solidago,Solidago gigantea,0,0
Solidago virgaurea,Solidago,Solidago virgaurea,1,1
Sonchus arvensis,Sonchus,Sonchus arvensis,0,0
Sonchus asper,Sonchus,Sonchus asper,0,0
Sonchus oleraceus,Sonchus,Sonchus oleraceus,0,0
Sorbus torminalis,Sorbus,Sorbus torminalis,0,0
Stachys palustris,Stachys,Stachys palustris,1,1
Stachys recta,Stachys,Stachys recta,1,1
Stellaria alsine,Stellaria,Stellaria alsine,0,0
Stellaria apetala,Stellaria media agg.,Stellaria media agg.,0,0
Stellaria graminea,Stellaria,Stellaria graminea,1,1
Stellaria media agg.,Stellaria,Stellaria media agg.,0,0
Stellaria media s. str.,Stellaria media agg.,Stellaria media agg.,0,0
Stellaria palustris,Stellaria,Stellaria palustris,1,1
Stipa capillata,Stipa,Stipa capillata,1,1
Stipa pennata agg.,Stipa,Stipa pennata agg.,1,1
Succisa pratensis,Succisa,Succisa pratensis,1,1
Symphytum bohemicum,Symphytum officinale agg.,Symphytum officinale agg.,0,1
Symphytum officinale agg.,Symphytum,Symphytum officinale agg.,1,1
Symphytum officinale s. str.,Symphytum officinale agg.,Symphytum officinale agg.,1,1
Tanacetum corymbosum s. l.,Tanacetum,Tanacetum corymbosum s. l.,1,1
Tanacetum vulgare,Tanacetum,Tanacetum vulgare,0,0
Taraxacum sect. Erythrosperma,Taraxacum,Taraxacum sect. Erythrosperma,1,1
Taraxacum sect. Ruderalia,Taraxacum,Taraxacum sect. Ruderalia,1,1
Teesdalia nudicaulis,Teesdalia,Teesdalia nudicaulis,1,1
Teucrium chamaedrys,Teucrium,Teucrium chamaedrys,1,1
Teucrium montanum,Teucrium,Teucrium montanum,1,1
Thalictrum aquilegiifolium,Thalictrum,Thalictrum aquilegiifolium,0,0
Thalictrum flavum,Thalictrum,Thalictrum flavum,1,1
Thalictrum minus,Thalictrum,Thalictrum minus,1,1
Thesium linophyllon,Thesium,Thesium linophyllon,1,1
Thymus praecox,Thymus,Thymus praecox,1,1
Thymus pulegioides s. l.,Thymus chamaedrys agg.,Thymus chamaedrys agg.,1,1
Torilis arvensis,Torilis,Torilis arvensis,0,0
Torilis japonica,Torilis japonica agg.,Torilis japonica agg.,0,0
Tragopogon,Asteraceae,Tragopogon,0,0
Tragopogon dubius,Tragopogon,Tragopogon dubius,0,0
Tragopogon pratensis s. l.,Tragopogon,Tragopogon pratensis s. l.,1,1
Trifolium alpestre,Trifolium,Trifolium alpestre,1,1
Trifolium arvense,Trifolium,Trifolium arvense,1,1
Trifolium campestre,Trifolium,Trifolium campestre,1,1
Trifolium dubium,Trifolium dubium agg.,Trifolium dubium agg.,1,1
Trifolium hybridum,Trifolium,Trifolium hybridum,0,0
Trifolium medium,Trifolium,Trifolium medium,0,0
Trifolium montanum,Trifolium,Trifolium montanum,1,1
Trifolium pratense,Trifolium,Trifolium pratense,1,1
Trifolium repens,Trifolium,Trifolium repens,1,1
Trifolium striatum,Trifolium,Trifolium striatum,1,1
Tripleurospermum perforatum,Tripleurospermum maritimum agg.,Tripleurospermum maritimum agg.,0,0
Trisetum flavescens,Trisetum,Trisetum flavescens,1,1
Trollius europaeus,Trollius,Trollius europaeus,1,1
Ulmus minor,Ulmus,Ulmus minor,0,0
Urtica dioica s. l.,Urtica,Urtica dioica s. l.,0,0
Valeriana officinalis agg.,Valeriana,Valeriana officinalis agg.,0,0
Valerianella locusta,Valerianella,Valerianella locusta,1,1
Verbascum,Scrophulariaceae,Verbascum,0,0
Verbascum densiflorum,Verbascum,Verbascum densiflorum,0,0
Verbascum nigrum,Verbascum,Verbascum nigrum,0,0
Verbascum thapsus,Verbascum,Verbascum thapsus,0,0
Verbena officinalis,Verbena,Verbena officinalis,0,0
Veronica arvensis,Veronica,Veronica arvensis,1,1
Veronica chamaedrys s. str.,Veronica chamaedrys agg.,Veronica chamaedrys agg.,1,1
Veronica filiformis,Veronica,Veronica filiformis,0,0
Veronica hederifolia agg.,Veronica,Veronica hederifolia agg.,0,0
Veronica maritima,Veronica maritima agg.,Veronica maritima agg.,0,0
Veronica officinalis,Veronica,Veronica officinalis,1,1
Veronica persica,Veronica,Veronica persica,0,0
Veronica polita,Veronica,Veronica polita,0,0
Veronica praecox,Veronica,Veronica praecox,1,1
Veronica serpyllifolia,Veronica,Veronica serpyllifolia,1,1
Veronica teucrium,Veronica austriaca agg.,Veronica austriaca agg.,1,1
Veronica verna agg.,Veronica,Veronica verna agg.,1,1
Viburnum lantana,Viburnum,Viburnum lantana,0,0
Viburnum opulus,Viburnum,Viburnum opulus,0,0
Vicia,Fabaceae,Vicia,0,0
Vicia angustifolia s. l.,Vicia sativa agg.,Vicia sativa agg.,0,1
Vicia cracca,Vicia cracca agg.,Vicia cracca agg.,1,1
Vicia grandiflora,Vicia,Vicia grandiflora,0,0
Vicia hirsuta,Vicia,Vicia hirsuta,0,0
Vicia sativa,Vicia,Vicia sativa agg.,1,1
Vicia sativa agg.,Vicia,Vicia sativa agg.,1,1
Vicia sepium,Vicia,Vicia sepium,1,1
Vicia sylvatica,Vicia,Vicia sylvatica,0,0
Vicia tetrasperma,Vicia tetrasperma agg.,Vicia tetrasperma agg.,0,0
Vincetoxicum hirundinaria,Vincetoxicum,Vincetoxicum hirundinaria,1,1
Viola arvensis,Viola tricolor agg.,Viola tricolor agg.,0,1
Viola canina s. str.,Viola canina agg.,Viola canina agg.,1,1
Viola collina,Viola,Viola collina,0,0
Viola hirta,Viola,Viola hirta,1,1
Viola stagnina,Viola,Viola stagnina,1,1
Viola tricolor,Viola tricolor agg.,Viola tricolor agg.,1,1
Viscaria vulgaris,Viscaria,Viscaria vulgaris,1,1
Vulpia myuros,Vulpia,Vulpia myuros,1,1
x Festulolium,Poaceae,x Festulolium,0,0
