id.site,site.type,hydrology,region,fg.ratio,fg.ratio.std,rest.meth,land.use.hist,rest.age,rest.age.std,cover.grass,cover.forbs,cover.legumes,tot.hill.0,tot.hill.1,target.hill.0,target.hill.1,fcsi.hill.0
M_NEL,restored,dry,centre,0.917,-0.01862073505982923,mga,grassland,14,0.42664531499794933,10.25,8.75,0.65,25,10.19404481270817,22,8.942037857988282,3.1023420086122493
M_NIS,negative,dry,centre,1.727,0.9049165077405444,NA,NA,NA,NA,27.5,47.5,0,47,12.50216844166928,31,8.67914485859685,3.435882939650045
M_PRA,restored,moist,centre,1.354,0.47963330827815015,dih,arable land,22,1.39415595058385,36.75,23.5,26.275,35,9.51614552928298,23,5.968589282681157,3.138833117194664
M_SKF,restored,fresh,centre,1.363,0.4898948331981542,res,arable land,9,-0.17804883224323856,25.5,31,3.75,38,14.664002071487886,31,13.271670091764223,3.4380113547848716
M_SMH,negative,dry,centre,0.237,-0.7939359512379207,NA,NA,NA,NA,55,12,1.025,26,4.666801046445508,19,3.4702049951977196,2.9509963797125995
M_SSB,positive,dry,centre,1.259,0.37131721190032835,NA,NA,NA,NA,27,33.5,0.5,43,16.427458139414753,39,15.57693613685352,3.6686767467964168
M_SSL,positive,dry,centre,0.722,-0.24095377499325257,NA,NA,NA,NA,43,31,0.025,45,16.739543382484154,39,15.103285116522676,3.667217957332757
M_STA,restored,fresh,centre,0.8,-0.15202055901988318,res,grassland,5,-0.6618041500361889,50,36.25,3.75,43,15.737078553173273,36,12.82299450776957,3.586985146432596
M_STF,restored,moist,centre,1.2,0.3040472152025234,dih,arable land,3,-0.903681808932664,33.75,26.25,14.25,53,21.56746065100606,35,17.056489371940245,3.5568506913739486
M_STI,restored,moist,centre,0.387,-0.6229105359045182,cus,arable land,28,2.1197889272732753,65,25,0.125,29,10.92768965214277,22,8.700112252360512,3.096708190893993
M_STN,restored,dry,centre,0.786,-0.16798293111766743,mga,grassland,2,-1.0246206383809016,46.25,36.25,0.125,64,22.314949306090497,52,23.37077815647053,3.9527219154507383
M_STP,positive,fresh,centre,0.961,0.031546720104635426,NA,NA,NA,NA,51.25,23,26.25,31,13.347455045335188,26,12.921231985207609,3.264486336120253
M_SUL,negative,fresh,centre,0.099,-0.951279333344651,NA,NA,NA,NA,73,7.25,0,21,2.037188311373798,10,1.7127002394557638,2.310883895808741
M_TAN,restored,dry,centre,1.209,0.3143087401225277,mga,grassland,11,0.0638288266532366,21.5,22,4,40,16.477190733894393,35,14.976264878271824,3.5600986642480112
M_TRE,restored,fresh,centre,0.933,-3.7802409093294555e-4,res,grassland,8,-0.29898766169147617,41.25,37,1.5,33,9.602226891624516,24,7.874788381409383,3.1822118404966093
M_TRN,negative,moist,centre,0.383,-0.6274712136467422,NA,NA,NA,NA,56.75,21,0.75,19,10.572056267181496,10,6.2160386752034,2.3125354238472138
M_TTH,restored,dry,centre,1.638,0.8034414279760587,mga,grassland,11,0.0638288266532366,20,32,0.75,48,15.05748969209774,42,13.600078018927118,3.741065207284507
M_TTO,positive,dry,centre,2.929,2.2754001692788766,NA,NA,NA,NA,17.5,51.25,0,68,26.52524531973457,59,22.957370003875983,4.079230924412053
M_TTP,restored,dry,centre,1.05,0.133021799869121,mga,grassland,13,0.30570648554971175,25,22.5,3.75,43,15.202232866001555,40,14.372541981317188,3.695110003864572
M_VOC,restored,fresh,centre,1.44,0.5776878797359675,dih,arable land,8,-0.29898766169147617,37.5,25.75,28.25,44,19.283329830956397,39,18.6715210518221,3.667826044916104
M_WDG,restored,fresh,centre,2.292,1.5491122388296936,res,arable land,6,-0.5408653205879513,22.25,18.75,32.25,38,8.496384541178086,33,7.3077742063452735,3.5015453554964373
M_WED,restored,moist,centre,0.362,-0.6514147717934186,res,arable land,7,-0.4199264911397137,58.75,20,1.275,27,7.630872624203084,22,6.363382814334708,3.0985896589936988
M_WEF,restored,moist,centre,0.111,-0.9375973001179788,mga,grassland,13,0.30570648554971175,63.25,7,0,29,7.810854518716119,22,7.157195004116299,3.096708190893993
M_WIM,restored,fresh,centre,1.162,0.26072077665139476,res,arable land,6,-0.5408653205879513,37,27.5,15.5,37,11.505874820626667,34,11.421991740867671,3.5336865647082343
M_WLE,negative,moist,centre,1.197,0.30062670689585547,NA,NA,NA,NA,45.75,54.75,0,17,3.4472544188344294,15,3.228262554622835,2.7300291078209855
M_WUG,restored,fresh,centre,0.997,0.07259281978465207,mga,arable land,NA,NA,40,38.75,1.125,41,18.018499178062942,29,12.20769227229808,3.369944838158051
M_WUM,restored,fresh,centre,0.87,-0.07220869853096207,mga,grassland,NA,NA,48,40,1.75,51,20.937977268467304,35,15.239091480180988,3.557027323009134
