id.site,name.plant,cf,TaxonRank,IsChildTaxonOf,cover.mean
M_BAL,Tripleurospermum perforatum,no,SPE,Tripleurospermum maritimum agg.,0.025
M_BAL,Valerianella locusta,no,SPE,Valerianella,1.625
M_BAL,Veronica arvensis,no,SPE,Veronica,0.5
M_BAL,Vicia hirsuta,no,SPE,Vicia,1.75
M_BAL,Vicia sativa agg.,no,AGG,Vicia,0.15
M_BAL,Viola arvensis,no,SPE,Viola tricolor agg.,0.025
M_BEE,Achillea millefolium agg.,no,AGG,Achillea,0.625
M_BEE,Arrhenatherum elatius,no,SPE,Arrhenatherum,1.5
M_BEE,Centaurea jacea agg.,no,AGG,Centaurea,1.125
M_BEE,Centaurea stoebe s. l.,no,AGG,Centaurea paniculata agg.,0.625
M_BEE,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,10
M_BEE,Convolvulus arvensis,no,SPE,Convolvulus,0.125
M_BEE,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,9
M_BEE,Daucus carota,no,SPE,Daucus,2
M_BEE,Elymus repens s. str.,no,SPE,Elymus,30.625
M_BEE,Erigeron annuus,no,SPE,Erigeron,0.125
M_BEE,Eryngium campestre,no,SPE,Eryngium,1
M_BEE,Galium mollugo agg.,no,AGG,Galium,2.5
M_BEE,Myosotis ramosissima,no,SPE,Myosotis,4.125
M_BEE,Onobrychis viciifolia,no,SPE,Onobrychis viciifolia agg.,0.125
M_BEE,Poa pratensis agg.,no,AGG,Poa,17.5
M_BEE,Silene vulgaris,no,SPE,Silene,0.5
M_BEE,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,0.025
M_BEE,Valerianella locusta,no,SPE,Valerianella,5.625
M_BEE,Veronica arvensis,no,SPE,Veronica,0.775
M_BEE,Viola arvensis,no,SPE,Viola tricolor agg.,0.125
M_BEN,Achillea millefolium agg.,no,AGG,Achillea,1.625
M_BEN,Agrimonia eupatoria,no,SPE,Agrimonia,0.025
M_BEN,Arrhenatherum elatius,no,SPE,Arrhenatherum,1.625
M_BEN,Centaurea jacea agg.,no,AGG,Centaurea,2
M_BEN,Cirsium arvense,no,SPE,Cirsium,0.025
M_BEN,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,15
M_BEN,Elymus repens s. str.,no,SPE,Elymus,2.125
M_BEN,Festuca ovina agg.,no,AG1,Festuca,4.5
M_BEN,Festuca pratensis s. str.,no,SPE,Festuca pratensis s. l.,7
M_BEN,Festuca valesiaca s. l.,no,AGG,Festuca ovina agg.,0.5
M_BEN,Galium mollugo agg.,no,AGG,Galium,0.275
M_BEN,Galium verum s. str.,no,SPE,Galium verum agg.,0.15
M_BEN,Hippocrepis comosa,no,SPE,Hippocrepis,0.05
M_BEN,Lolium perenne,no,SPE,Lolium,1.125
M_BEN,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,0.375
M_BEN,Malva moschata,no,SPE,Malva,1.25
M_BEN,Poa angustifolia,no,SPE,Poa pratensis agg.,0.5
M_BEN,Salvia pratensis,no,SPE,Salvia,0.025
M_BEN,Silene vulgaris,no,SPE,Silene,3
M_BEN,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,0.025
M_BEN,Trifolium pratense,no,SPE,Trifolium,0.025
M_BIR,Achillea millefolium agg.,no,AGG,Achillea,0.775
M_BIR,Alopecurus pratensis,no,SPE,Alopecurus,2
M_BIR,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,0.125
M_BIR,Arrhenatherum elatius,no,SPE,Arrhenatherum,9
M_BIR,Briza media,no,SPE,Briza,1
M_BIR,Campanula patula,no,SPE,Campanula,0.625
M_BIR,Carex praecox agg.,no,AGG,Carex,0.125
M_BIR,Centaurea jacea agg.,no,AGG,Centaurea,15
M_BIR,Centaurea scabiosa,no,SPE,Centaurea,0.15
M_BIR,Cerastium,no,GAT,Caryophyllaceae,0.125
M_BIR,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,0.525
M_BIR,Cirsium acaulon,no,SPE,Cirsium,0.5
M_BIR,Cirsium arvense,no,SPE,Cirsium,0.125
M_BIR,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,0.625
M_BIR,Daucus carota,no,SPE,Daucus,12.375
M_BIR,Deschampsia cespitosa s. str.,no,SPE,Deschampsia cespitosa agg.,1.5
M_BIR,Dianthus carthusianorum,no,SPE,Dianthus carthusianorum agg.,0.625
M_BIR,Dianthus deltoides,no,SPE,Dianthus,0.275
M_BIR,Elymus repens s. str.,no,SPE,Elymus,17.5
M_BIR,Equisetum pratense,no,SPE,Equisetum,2.625
M_BIR,Festuca arundinacea,no,SPE,Festuca,2.625
M_BIR,Festuca rupicola,no,SPE,Festuca ovina agg.,1.5
M_BIR,Fragaria viridis,no,SPE,Fragaria,9.375
M_BIR,Galium mollugo agg.,no,AGG,Galium,1.5
M_BIR,Galium verum s. str.,no,SPE,Galium verum agg.,2.125
M_BIR,Geranium pratense,no,SPE,Geranium,0.375
M_BIR,Holcus lanatus,no,SPE,Holcus,5
M_BIR,Lathyrus pratensis,no,SPE,Lathyrus,6
M_BIR,Leucanthemum vulgare s. str.,no,SPE,Leucanthemum vulgare agg.,0.5
M_BIR,Pimpinella saxifraga,no,SPE,Pimpinella saxifraga agg.,2.5
M_BIR,Plantago lanceolata,no,SPE,Plantago,1.75
M_BIR,Poa pratensis s. str.,no,SPE,Poa pratensis agg.,12.5
M_BIR,Polygala vulgaris s. l.,no,SPE,Polygala,0.125
M_BIR,Potentilla reptans,no,SPE,Potentilla,0.125
M_BIR,Prunella vulgaris,no,SPE,Prunella,0.5
M_BIR,Prunus,no,GAT,Rosaceae,0.125
M_BIR,Quercus,no,GAT,Fagaceae,0.125
M_BIR,Ranunculus repens,no,SPE,Ranunculus,0.5
M_BIR,Rumex acetosa,no,SPE,Rumex,0.15
M_BIR,Stellaria media s. str.,no,SPE,Stellaria media agg.,0.175
M_BIR,Thymus praecox,no,SPE,Thymus,1
M_BIR,Trifolium pratense,no,SPE,Trifolium,1.125
M_BIR,Trifolium repens,no,SPE,Trifolium,3.625
M_BIR,Veronica arvensis,no,SPE,Veronica,0.5
M_BIR,Veronica chamaedrys s. str.,no,SPE,Veronica chamaedrys agg.,1.625
M_BIR,Vicia hirsuta,no,SPE,Vicia,0.125
M_BOD,Alopecurus pratensis,no,SPE,Alopecurus,10.375
M_BOD,Arrhenatherum elatius,no,SPE,Arrhenatherum,33.125
M_BOD,Capsella bursa-pastoris,no,SPE,Capsella,0.125
M_BOD,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,0.875
M_BOD,Cirsium,no,GAT,Asteraceae,0.025
M_BOD,Cirsium vulgare,no,SPE,Cirsium,0.125
M_BOD,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,2.5
M_BOD,Daucus carota,no,SPE,Daucus,1
M_BOD,Elymus repens s. str.,no,SPE,Elymus,0.5
M_BOD,Festuca ovina agg.,no,AG1,Festuca,0.5
M_BOD,Galium mollugo agg.,no,AGG,Galium,0.25
M_BOD,Helictotrichon pubescens,no,SPE,Helictotrichon,1
M_BOD,Lactuca serriola,no,SPE,Lactuca,0.125
M_BOD,Lolium perenne,no,SPE,Lolium,0.25
M_BOD,Myosotis ramosissima,no,SPE,Myosotis,2.5
M_BOD,Poa pratensis agg.,no,AGG,Poa,9.5
M_BOD,Potentilla reptans,no,SPE,Potentilla,0.125
M_BOD,Ranunculus bulbosus,no,SPE,Ranunculus,0.875
M_BOD,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,0.125
M_BOD,Trifolium campestre,no,SPE,Trifolium,0.025
M_BOD,Valerianella locusta,no,SPE,Valerianella,4.125
M_BOD,Veronica arvensis,no,SPE,Veronica,3.625
M_BOD,Veronica chamaedrys s. str.,no,SPE,Veronica chamaedrys agg.,1
M_BOD,Vicia hirsuta,yes,SPE,Vicia,5.25
M_BOD,Vicia sativa agg.,no,AGG,Vicia,12.875
M_BRA,Achillea millefolium agg.,no,AGG,Achillea,3.025
M_BRA,Agrimonia eupatoria,no,SPE,Agrimonia,1.5
M_BRA,Arabidopsis thaliana,no,SPE,Arabidopsis,0.025
M_BRA,Arrhenatherum elatius,no,SPE,Arrhenatherum,0.125
M_BRA,Bromus erectus,no,SPE,Bromus,0.125
M_BRA,Bromus hordeaceus,no,SPE,Bromus hordeaceus agg.,1.625
M_BRA,Capsella bursa-pastoris,no,SPE,Capsella,0.125
M_BRA,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,1.625
M_BRA,Clinopodium vulgare,no,SPE,Clinopodium,0.5
M_BRA,Cynosurus cristatus,no,SPE,Cynosurus,0.025
M_BRA,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,0.625
M_BRA,Draba verna s. str.,no,SPE,Draba verna agg.,1
M_BRA,Elymus repens s. str.,no,SPE,Elymus,0.25
M_BRA,Erodium cicutarium s. str.,no,SPE,Erodium cicutarium agg.,2.5
M_BRA,Eryngium campestre,no,SPE,Eryngium,0.15
M_BRA,Euphorbia cyparissias,no,SPE,Euphorbia,0.025
M_BRA,Falcaria vulgaris,no,SPE,Falcaria,1.25
M_BRA,Festuca ovina agg.,no,AG1,Festuca,1
M_BRA,Festuca rupicola,no,SPE,Festuca ovina agg.,9.5
M_BRA,Galium glaucum,no,SPE,Galium,1
M_BRA,Galium mollugo agg.,no,AGG,Galium,0.675
M_BRA,Hypericum perforatum,no,SPE,Hypericum,0.025
M_BRA,Knautia arvensis s. str.,no,SPE,Knautia arvensis agg.,2
M_BRA,Koeleria pyramidata,no,SPE,Koeleria pyramidata agg.,5.625
M_BRA,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,0.5
M_BRA,Papaver rhoeas,no,SPE,Papaver,1
M_BRA,Picris hieracioides s. l.,no,SPE,Picris,0.125
M_BRA,Poa pratensis s. str.,no,SPE,Poa pratensis agg.,23.125
M_BRA,Potentilla argentea s. l.,no,SPE,Potentilla,5.125
M_BRA,Sanguisorba minor s. l.,no,SPE,Sanguisorba,0.125
M_BRA,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,0.625
M_BRA,Trifolium dubium,no,SPE,Trifolium dubium agg.,0.625
M_BRA,Tripleurospermum perforatum,no,SPE,Tripleurospermum maritimum agg.,0.025
M_BRA,Valerianella locusta,no,SPE,Valerianella,0.025
M_BRA,Veronica arvensis,no,SPE,Veronica,0.15
M_BRA,Vicia hirsuta,no,SPE,Vicia,1.525
M_BRA,Vicia sativa agg.,no,AGG,Vicia,3
M_BRA,Vicia sepium,no,SPE,Vicia,30
M_BRA,Viola arvensis,no,SPE,Viola tricolor agg.,0.025
M_BUH,Achillea millefolium agg.,no,AGG,Achillea,12.5
M_BUH,Agrimonia eupatoria,no,SPE,Agrimonia,0.125
M_BUH,Alopecurus pratensis,no,SPE,Alopecurus,1.25
M_BUH,Anthemis tinctoria,no,SPE,Anthemis tinctoria agg.,0.125
M_BUH,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,3
M_BUH,Arrhenatherum elatius,no,SPE,Arrhenatherum,6
M_BUH,Briza media,no,SPE,Briza,0.25
M_BUH,Campanula rapunculoides,no,SPE,Campanula,0.025
M_BUH,Centaurea jacea agg.,no,AGG,Centaurea,1.625
M_BUH,Centaurea scabiosa,no,SPE,Centaurea,1.625
M_BUH,Cichorium intybus,no,SPE,Cichorium,1.125
M_BUH,Clinopodium vulgare,no,SPE,Clinopodium,1.25
M_BUH,Crepis biennis,no,SPE,Crepis,2
M_BUH,Cynosurus cristatus,no,SPE,Cynosurus,0.75
M_BUH,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,12.5
M_BUH,Daucus carota,no,SPE,Daucus,0.25
M_BUH,Festuca ovina agg.,no,AG1,Festuca,1.25
M_BUH,Festuca pratensis s. str.,no,SPE,Festuca pratensis s. l.,3.5
M_BUH,Festuca rubra,no,SPE,Festuca rubra agg.,1.125
M_BUH,Galium mollugo agg.,no,AGG,Galium,0.15
M_BUH,Galium verum s. str.,no,SPE,Galium verum agg.,0.125
M_BUH,Heracleum sphondylium,no,SPE,Heracleum,0.125
M_BUH,Holcus lanatus,no,SPE,Holcus,0.25
M_BUH,Hypericum perforatum,no,SPE,Hypericum,0.25
M_BUH,Hypochaeris radicata,no,SPE,Hypochaeris,0.5
M_BUH,Knautia arvensis s. str.,no,SPE,Knautia arvensis agg.,2
M_BUH,Lathyrus pratensis,no,SPE,Lathyrus,0.15
M_BUH,Leontodon hispidus,no,SPE,Leontodon,0.125
M_BUH,Leucanthemum vulgare s. str.,no,SPE,Leucanthemum vulgare agg.,33.125
M_BUH,Linaria vulgaris,no,SPE,Linaria,0.15
M_BUH,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,8
M_BUH,Malva moschata,no,SPE,Malva,0.275
M_BUH,Medicago lupulina,no,SPE,Medicago,0.05
M_BUH,Origanum vulgare,no,SPE,Origanum,0.75
M_BUH,Pastinaca sativa,no,SPE,Pastinaca,0.15
M_BUH,Plantago lanceolata,no,SPE,Plantago,2
M_BUH,Plantago media,no,SPE,Plantago,0.025
M_BUH,Poa pratensis agg.,no,AGG,Poa,0.75
M_BUH,Poa trivialis s. l.,no,SPE,Poa,2.5
M_BUH,Prunella vulgaris,no,SPE,Prunella,1.25
M_BUH,Ranunculus acris,no,SPE,Ranunculus acris agg.,0.15
M_BUH,Salvia pratensis,no,SPE,Salvia,0.025
M_BUH,Sanguisorba minor s. l.,no,SPE,Sanguisorba,0.275
M_BUH,Silene dioica,no,SPE,Silene,0.025
M_BUH,Silene latifolia subsp. alba,no,SSP,Silene latifolia,0.175
M_BUH,Silene vulgaris,no,SPE,Silene,0.4
M_BUH,Tragopogon pratensis s. l.,no,AGG,Tragopogon,0.025
M_BUH,Trifolium pratense,no,SPE,Trifolium,11
M_BUH,Trisetum flavescens,no,SPE,Trisetum,1.625
M_CAL,Achillea millefolium agg.,no,AGG,Achillea,17.875
M_CAL,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,2.25
M_CAL,Arrhenatherum elatius,no,SPE,Arrhenatherum,12.5
M_CAL,Centaurea jacea agg.,no,AGG,Centaurea,3.5
M_CAL,Cerastium,no,GAT,Caryophyllaceae,0.4
M_CAL,Cirsium arvense,no,SPE,Cirsium,0.25
M_CAL,Cornus sanguinea,no,SPE,Cornus,0.025
M_CAL,Crataegus monogyna,no,SPE,Crataegus,0.025
M_CAL,Crepis biennis,no,SPE,Crepis,0.625
M_CAL,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,4.125
M_CAL,Daucus carota,no,SPE,Daucus,1.125
M_CAL,Galium mollugo agg.,no,AGG,Galium,3.625
M_CAL,Galium verum s. str.,no,SPE,Galium verum agg.,0.75
M_CAL,Geranium pratense,no,SPE,Geranium,0.025
M_CAL,Hypericum perforatum,no,SPE,Hypericum,1
M_CAL,Leucanthemum vulgare agg.,no,AGG,Leucanthemum,0.025
M_CAL,Linaria vulgaris,no,SPE,Linaria,0.625
M_CAL,Lotus corniculatus,no,SPE,Lotus corniculatus agg.,3.5
M_CAL,Pastinaca sativa,no,SPE,Pastinaca,1.025
M_CAL,Picris hieracioides s. l.,no,SPE,Picris,0.125
M_CAL,Plantago lanceolata,no,SPE,Plantago,4.5
M_CAL,Poa angustifolia,no,SPE,Poa pratensis agg.,11
M_CAL,Rubus,no,GAT,Rosaceae,0.025
M_CAL,Silene latifolia subsp. alba,no,SSP,Silene latifolia,0.025
M_CAL,Silene vulgaris,no,SPE,Silene,6.5
M_CAL,Trifolium campestre,no,SPE,Trifolium,0.025
M_CAL,Trifolium pratense,no,SPE,Trifolium,0.15
M_CBE,Alopecurus pratensis,no,SPE,Alopecurus,4
M_CBE,Arrhenatherum elatius,no,SPE,Arrhenatherum,17.5
M_CBE,Cerastium glutinosum,no,SPE,Cerastium pumilum agg.,2.65
M_CBE,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,0.025
M_CBE,Convolvulus arvensis,no,SPE,Convolvulus,0.125
M_CBE,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,1.5
M_CBE,Elymus repens s. str.,no,SPE,Elymus,36.25
M_CBE,Festuca pratensis s. str.,no,SPE,Festuca pratensis s. l.,0.5
M_CBE,Festuca rubra,no,SPE,Festuca rubra agg.,0.5
M_CBE,Galium mollugo agg.,no,AGG,Galium,0.25
M_CBE,Lamium purpureum s. str.,yes,SPE,Lamium,0.525
M_CBE,Lamium purpureum s. str.,no,SPE,Lamium,0.5
M_CBE,Myosotis ramosissima,no,SPE,Myosotis,0.125
M_CBE,Poa angustifolia,no,SPE,Poa pratensis agg.,1.125
M_CBE,Poa pratensis agg.,no,AGG,Poa,23.75
M_CBE,Stellaria media agg.,no,AGG,Stellaria,1.05
M_CBE,Taraxacum sect. Ruderalia,no,SEC,Taraxacum,0.05
M_CBE,Urtica dioica s. l.,no,AGG,Urtica,1
M_CBE,Valerianella locusta,no,SPE,Valerianella,3.75
M_CBE,Veronica arvensis,no,SPE,Veronica,2.775
M_DOB,Achillea millefolium agg.,no,AGG,Achillea,11
M_DOB,Agrimonia eupatoria,no,SPE,Agrimonia,0.775
M_DOB,Anthoxanthum odoratum s. str.,no,SPE,Anthoxanthum odoratum agg.,0.775
M_DOB,Arrhenatherum elatius,no,SPE,Arrhenatherum,2.25
M_DOB,Briza media,no,SPE,Briza,0.175
M_DOB,Carduus nutans,yes,SPE,Carduus nutans agg.,0.05
M_DOB,Centaurea jacea agg.,no,AGG,Centaurea,1.625
M_DOB,Centaurea scabiosa,no,SPE,Centaurea,0.025
M_DOB,Cerastium holosteoides,no,SPE,Cerastium fontanum agg.,0.025
M_DOB,Cirsium acaulon,yes,SPE,Cirsium,0.025
M_DOB,Dactylis glomerata s. str.,no,SPE,Dactylis glomerata agg.,1.15
M_DOB,Daucus carota,no,SPE,Daucus,0.3
M_DOB,Dianthus carthusianorum,no,SPE,Dianthus carthusianorum agg.,1.125
M_DOB,Elymus repens s. str.,no,SPE,Elymus,0.05
