id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16
N_BU1_A1,N_BU1,north,664,European Atlantic mixed forests,14.350000381469727,9.774601422451845,54.099155927369715,R21,R22
N_BU1_A2,N_BU1,north,664,European Atlantic mixed forests,14.350000381469727,9.774601422451845,54.099155927369715,R21,R22
N_BU1_A3,N_BU1,north,664,European Atlantic mixed forests,14.350000381469727,9.774601422451845,54.099155927369715,R22,R22
N_BU1_A4,N_BU1,north,664,European Atlantic mixed forests,14.350000381469727,9.774601422451845,54.099155927369715,R22,R22
N_BU2_A1,N_BU2,north,664,European Atlantic mixed forests,12.569999694824219,9.766568711655491,54.099968625145436,R,R
N_BU2_A2,N_BU2,north,664,European Atlantic mixed forests,12.569999694824219,9.766568711655491,54.099968625145436,R36,R
N_BU2_A3,N_BU2,north,664,European Atlantic mixed forests,12.569999694824219,9.766568711655491,54.099968625145436,R,R
N_BU2_A4,N_BU2,north,664,European Atlantic mixed forests,12.569999694824219,9.766568711655491,54.099968625145436,R,R
N_BIT_A1,N_BIT,north,664,European Atlantic mixed forests,29.850000381469727,9.71248982591909,54.06746828100496,R22,R22
N_BIT_A2,N_BIT,north,664,European Atlantic mixed forests,29.850000381469727,9.71248982591909,54.06746828100496,R22,R22
N_BIT_A3,N_BIT,north,664,European Atlantic mixed forests,29.850000381469727,9.71248982591909,54.06746828100496,R22,R22
N_BIT_A4,N_BIT,north,664,European Atlantic mixed forests,29.850000381469727,9.71248982591909,54.06746828100496,R22,R22
N_STE_A1,N_STE,north,664,European Atlantic mixed forests,4.570000171661378,9.644420626867728,54.376768930186465,R,R
N_STE_A2,N_STE,north,664,European Atlantic mixed forests,4.570000171661378,9.644420626867728,54.376768930186465,R,R
N_STE_A3,N_STE,north,664,European Atlantic mixed forests,4.570000171661378,9.644420626867728,54.376768930186465,R,R
N_STE_A4,N_STE,north,664,European Atlantic mixed forests,4.570000171661378,9.644420626867728,54.376768930186465,R,R
N_UET_A1,N_UET,north,664,European Atlantic mixed forests,17.610000610351563,9.718224004207402,53.62918256355337,R,R
N_UET_A2,N_UET,north,664,European Atlantic mixed forests,17.610000610351563,9.718224004207402,53.62918256355337,R,R
N_UET_A3,N_UET,north,664,European Atlantic mixed forests,17.610000610351563,9.718224004207402,53.62918256355337,R,R
N_UET_A4,N_UET,north,664,European Atlantic mixed forests,17.610000610351563,9.718224004207402,53.62918256355337,R,R
N_HAI_A1,N_HAI,north,664,European Atlantic mixed forests,16.59000015258789,9.734085863853823,53.59957298245976,R35,R
N_HAI_A2,N_HAI,north,664,European Atlantic mixed forests,16.59000015258789,9.734085863853823,53.59957298245976,R,R
N_HAI_A3,N_HAI,north,664,European Atlantic mixed forests,16.59000015258789,9.734085863853823,53.59957298245976,R,R
N_HAI_A4,N_HAI,north,664,European Atlantic mixed forests,16.59000015258789,9.734085863853823,53.59957298245976,R,R
N_ZDF_A1,N_ZDF,north,664,European Atlantic mixed forests,5.039999961853028,10.038774688295907,53.46811983157973,R22,R22
