attributeName;attributeDefinition;formatString;definition;unit;numberType;type;factor;comment,,,
name.plant;Botanical species name identified by TNRS package;NA;NA;NA;NA;character;NA;Nomenclature see column url,,,
family;Family of plant species;NA;family of plant species from worldfloraonline.org;NA;NA;character;NA;Nomenclature see column url,,,
sz_v;Social behaviour, phytosociological alliance;NA;NA;dimensionless;integer;numeric;NA;Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182,,
sz_u;Social behaviour, phytosociological sub-alliance;NA;NA;dimensionless;integer;numeric;NA;Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182,,
sociology;Ellenberg sociology;NA;numeric aggregation of social behaviour;dimensionless;integer;numeric;NA;Ellenbeg H (2001) Zeigerwerte von Pflanzen in Mitteleuropa. 3rd ed. Scripta geobotanica 18: 9-166. ISBN 3884525182,,,
status;Native or neophyte or unknown;NA;NA;NA;NA;factor;I = established native or Archaeobiota / N = established neophyte / U = unstable and cultivated / ? = doubtful (taxonomically or geographically) / F = incorrect information / kN = no evidence or not established;Metzing et al. (2018) Rote Liste gefährdeter Tiere, Pflanzen und Pilze Deutschlands. Band 7: Pflanzen. – Naturschutz und Biologische Vielfalt 70(7). Landwirtschaftsverlag, Münster, 13–358. ISBN 978-3-7843-5612-9
neobiota;Is species a neophyte? (BfN 2021);NA;NA;NA;NA;factor;N = neobiota;Metzing et al. (2018) Rote Liste gefährdeter Tiere, Pflanzen und Pilze Deutschlands. Band 7: Pflanzen. – Naturschutz und Biologische Vielfalt 70(7). Landwirtschaftsverlag, Münster, 13–358. ISBN 978-3-7843-5612-9
rlg;Red list Germany (BfN 2018);NA;NA;NA;NA;factor;0 = extinct or lost / 1 = threatened from extinction / 2 = strongly threatened / 3 = threatened / G = threat of unknown extent / V = early warning list / * = not threatened / D = data insufficient / nb = not evaluated / kN = no evidence;Metzing et al. (2018) Rote Liste gefährdeter Tiere, Pflanzen und Pilze Deutschlands. Band 7: Pflanzen. – Naturschutz und Biologische Vielfalt 70(7). Landwirtschaftsverlag, Münster, 13–358. ISBN 978-3-7843-5612-9
responsibility;Responsibility for the conservation due to the species main range is in Germany;NA;NA;NA;NA;factor;!! = particularly responsible / ! = responsible / (!) = particularly responsible for highly isolated outposts / ? = data insufficient / nb = not evaluated;Metzing et al. (2018) Rote Liste gefährdeter Tiere, Pflanzen und Pilze Deutschlands. Band 7: Pflanzen. – Naturschutz und Biologische Vielfalt 70(7). Landwirtschaftsverlag, Münster, 13–358. ISBN 978-3-7843-5612-9
legal;Legally protected in Germany (BArtSchV 2005);NA;NA;NA;NA;factor;b = besonders geschuetzt / s = streng geschuetzt;BArtSchV (2005) Bundesartenschutzverordnung vom 16. Februar 2005 (BGBl. I S. 258: 896) die zuletzt durch Artikel 10 des Gesetzes vom 21. Januar 2013 (BGBl. I S. 95) geaendert worden ist,,,
R16_Diagnostic;;;;;;;;,,,
R16_Constant;;;;;;;;,,,
