name.original,family,url,name.plant,name.dummy,sla,height,seedmass,flowering.start,growth.form.1,growth.form.2,nitrogen.fix,oek.l,oek.t,oek.k,oek.f,oek.f.change,oek.n,oek.r,oek.s,lf.leb,mahdvertra,weidevertr,trittvertr,futterwert,sociology,legal,status,neobiota,rlg,responsibility,funct.group.x,R11.Diagnostic,R16.Diagnostic,R1A.Diagnostic,R1B.Diagnostic,R1M.Diagnostic,R1P.Diagnostic,R21.Diagnostic,R22.Diagnostic,R35.Diagnostic,R36.Diagnostic,R37.Diagnostic,ffh.2330,ffh.6120,ffh.6210,ffh.6230,ffh.6240,ffh.6410,ffh.6440,ffh.6510,sh.feucht.naessezeiger,sh.trockenheitszeiger,sh.basenzeiger,sh.magerkeitszeiger,sh.ruderalisierungszeiger,sh.beweidungszeiger,sh.wert.gruenlandarten,sh.ausnahmearten.spp.wert.gruenlandarten,sh.nicht.wert.flutrasenarten,sh.calthion,sh.wiesenzeiger,btt.hh.GMG Kennzeichnende Arten,btt.hh.GMG Wertgebende Arten (RL-HH),btt.hh.GMM Kennzeichnende Arten,btt.hh.GMM Wertgebende Arten (RL-HH),btt.hh.GMT Kennzeichnende Arten,btt.hh.GMT Wertgebende Arten (RL-HH),btt.hh.GMW Kennzeichnende Arten,btt.hh.GMW Wertgebende Arten (RL-HH),btt.hh.GFA Kennzeichnende Arten,btt.hh.GFA Wertgebende Arten (RL-HH),btt.hh.GFR Kennzeichnende Arten,btt.hh.GFR Wertgebende Arten (RL-HH),btt.hh.GFC Kennzeichnende Arten,btt.hh.GFC Wertgebende Arten (RL-HH),btt.hh.GFF Kennzeichnende Arten,btt.hh.GFF Wertgebende Arten (RL-HH),btt.hh.GN Kennzeichnende Arten,btt.hh.GN Wertgebende Arten (RL-HH),btt.hh.GNP Kennzeichnende Arten,btt.hh.GNP Wertgebende Arten (RL-HH),hh.gl.typical,hh.gl.F.zeiger,hh.gl.N.zeiger,hh.gl.R.zeiger,nie.gn.gf.kennarten,btt.nie.9.1 GM weithin verbreitete Grünlandarten,btt.nie.9.1 GM Kennarten für Grünland mit weiter Standortamplitude,btt.nie.9.1.1 GMF Zusätzliche Kennarten,btt.nie.9.1.3 GMA Zusätzliche Kennarten,btt.nie.9.1.4 GMK Zusätzliche Kennarten,btt.nie.9.3. GN Kennzeichnende Pflanzenarten,btt.nie.9.4.1 GFB Kennarten,btt.nie.9.4.2 GFF Kennarten,btt.nie.9.4.3 GFS Kennarten,lsa.nasswiesen,bv.§30.borstgrasrasen,bv.art23.pfeifengraswiesen,bv.§30.nasswiesen,bv.gruenland.feucht,bv.gruenland.frisch,bv.§30.trockenrasen,btt.bv.GL Typische Arten,btt.bv.GA Typische Arten,btt.bv.GL6120* Typische Arten,btt.bv.GN Typische Arten,btt.bv.GO6230* Typische Arten,btt.bv.GP6410 Typische Arten,btt.bv.GT und GT6210 Typische Arten,btt.bv.GT621P* Typische Arten,btt.bv.GT6240* Typische Arten,"btt.bv.GU, GU651E und GU651L Typische Arten",calth.sturm,funct.group.y,ruderal,target_ellenberg
Aegopodium podagraria,Apiaceae,https://www.worldfloraonline.org/taxon/wfo-0000521573,Aegopodium podagraria,Aegopodium podagraria,287.97,0.479,0.00188225,Jun,herb,forb,NA,5,5,3,6,NA,8,7,0,"G,H",6,2,4,4,3531,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,yes,no
Agrimonia eupatoria,Rosaceae,https://www.worldfloraonline.org/taxon/wfo-0001006654,Agrimonia eupatoria,Agrimonia eupatoria,184.5,0.333,0.0142465,Jun,herb,forb,NA,7,6,4,4,NA,4,8,0,H,3,4,3,3,6111,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,herb,no,trifolio-geranietea
Agrostis canina,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000843382,Agrostis canina,Agrostis canina,272.9,0.38,5.354e-5,Jun,herb,graminoid,NA,9,5,5,9,NA,2,3,0,H,6,3,4,4,1700,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,F,A,S,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Agrostis capillaris,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000841743,Agrostis capillaris,Agrostis capillaris,345.35,0.43,6.91625e-5,Jun,herb,NA,NA,7,NA,3,NA,NA,4,4,0,H,6,5,5,6,5000,NA,I,NA,*,NA,grass,NA,NA,NA,NA,16.6,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,grass,no,no
Agrostis gigantea,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000843693,Agrostis gigantea,Agrostis gigantea,227.84,0.828333333333333,8.31666666666667e-5,Jun,herb,NA,NA,7,5,3,8,NA,6,7,0,H,8,7,7,8,5400,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Agrostis stolonifera,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000844489,Agrostis stolonifera,Agrostis stolonifera,313.29,0.605,6.16e-5,NA,herb,NA,no,8,NA,5,7,~,5,NA,0,H,9,9,9,4,3810,NA,I,NA,*,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Agrostis stolonifera agg.,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000844489,Agrostis stolonifera agg.,Agrostis stolonifera,313.29,0.605,6.16e-5,NA,herb,NA,no,8,NA,5,7,~,5,NA,0,H,9,9,9,4,0,NA,I,NA,*,nb,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,no
Aira caryophyllea s. l.,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000844921,Aira caryophyllea s. l.,Aira caryophyllea,210.8,0.105,1.285e-4,NA,herb,NA,no,9,6,2,2,NA,1,4,0,T,NA,NA,NA,NA,5241,NA,NA,NA,NA,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,sedo-scleranthetea
Aira praecox,Poaceae,https://www.worldfloraonline.org/taxon/wfo-0000845169,Aira praecox,Aira praecox,214.3,0.0965,1.60166666666667e-4,Apr,herb,NA,no,9,6,2,2,NA,1,2,0,T,NA,NA,NA,NA,5241,NA,I,NA,V,NA,grass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,T,A,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grass,no,sedo-scleranthetea
Ajuga reptans,Lamiaceae,https://www.worldfloraonline.org/taxon/wfo-0000935107,Ajuga reptans,Ajuga reptans,347,0.150666666666667,0.0014525,NA,herb,forb,NA,6,NA,2,6,NA,6,6,0,H,7,5,5,3,0,NA,I,NA,*,NA,herb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,herb,no,no
