id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,hydrology,site.type,rest.meth,rest.age,land.use.hist,cover.grass,cover.forbs,cover.legumes,site.forb.legu.grass.ratio
M_BOD_A1,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,fresh,negative,NA,NA,NA,50,7,30,0.511
M_BOD_A2,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,fresh,negative,NA,NA,NA,45,15,10,0.511
M_BOD_A3,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,fresh,negative,NA,NA,NA,79,6,4,0.511
M_BOD_A4,M_BOD,centre,654,Central European mixed forests,59,11.72985443,51.83255624,fresh,negative,NA,NA,NA,45,25,15,0.511
M_BRA_A1,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,dry,restored,res,10,arable land,25,15,60,1.579
M_BRA_A2,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,dry,restored,res,10,arable land,60,15,25,1.579
M_BRA_A3,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,dry,restored,res,10,arable land,30,50,4,1.579
M_BRA_A4,M_BRA,centre,654,Central European mixed forests,122.0899963,11.86698516,51.54885765,dry,restored,res,10,arable land,30,20,40,1.579
M_BUH_A1,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,fresh,restored,res,3,arable land,35,40,30,2.261
M_BUH_A2,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,fresh,restored,res,3,arable land,25,45,15,2.261
M_BUH_A3,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,fresh,restored,res,3,arable land,35,50,10,2.261
M_BUH_A4,M_BUH,centre,654,Central European mixed forests,104.7900009,10.60948255,52.00891,fresh,restored,res,3,arable land,20,60,10,2.261
M_CAL_A1,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,fresh,restored,res,6,arable land,25,30,2,1.673
M_CAL_A2,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,fresh,restored,res,6,arable land,30,42,5,1.673
M_CAL_A3,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,fresh,restored,res,6,arable land,25,55,5,1.673
M_CAL_A4,M_CAL,centre,654,Central European mixed forests,54.95999908,11.8127823,51.91316941,fresh,restored,res,6,arable land,30,40,5,1.673
M_CBE_A1,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,fresh,negative,NA,NA,NA,43,25,0,0.198
M_CBE_A2,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,fresh,negative,NA,NA,NA,82,3,0,0.198
M_CBE_A3,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,fresh,negative,NA,NA,NA,60,15,0,0.198
M_CBE_A4,M_CBE,centre,654,Central European mixed forests,55.54000092,11.81622602,51.91392502,fresh,negative,NA,NA,NA,78,9,0,0.198
M_DOB_A1,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,dry,restored,res,6,arable land,10,55,12,3.029
M_DOB_A2,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,dry,restored,res,6,arable land,10,30,25,3.029
M_DOB_A3,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,dry,restored,res,6,arable land,20,40,10,3.029
M_DOB_A4,M_DOB,centre,654,Central European mixed forests,124.8199997,11.76306711,51.62001263,dry,restored,res,6,arable land,30,15,25,3.029
M_DOR_A1,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,fresh,restored,cus,27,arable land,40,20,6,0.4
M_DOR_A2,M_DOR,centre,654,Central European mixed forests,114.1999969,11.81450305,51.64508573,fresh,restored,cus,27,arable land,45,10,1,0.4
