id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,hydrology,site.type,rest.meth,rest.age,land.use.hist,cover.grass,cover.forbs,cover.legumes,site.forb.legu.grass.ratio
M_STN_A3,M_STN,centre,654,Central European mixed forests,184.0599976,11.51118008,51.27824642,dry,restored,mga,2,grassland,30,50,0,0.786
M_STN_A4,M_STN,centre,654,Central European mixed forests,184.0599976,11.51118008,51.27824642,dry,restored,mga,2,grassland,55,25,0,0.786
M_STP_A1,M_STP,centre,654,Central European mixed forests,54.63000107,12.05356323,51.87379422,fresh,positive,NA,NA,NA,55,30,30,0.961
M_STP_A2,M_STP,centre,654,Central European mixed forests,54.63000107,12.05356323,51.87379422,fresh,positive,NA,NA,NA,60,17,25,0.961
M_STP_A3,M_STP,centre,654,Central European mixed forests,54.63000107,12.05356323,51.87379422,fresh,positive,NA,NA,NA,40,20,40,0.961
M_STP_A4,M_STP,centre,654,Central European mixed forests,54.63000107,12.05356323,51.87379422,fresh,positive,NA,NA,NA,50,25,10,0.961
M_SUL_A1,M_SUL,centre,654,Central European mixed forests,73.33000183,11.56157811,52.02835511,fresh,negative,NA,NA,NA,70,5,0,0.099
M_SUL_A2,M_SUL,centre,654,Central European mixed forests,73.33000183,11.56157811,52.02835511,fresh,negative,NA,NA,NA,80,6,0,0.099
M_SUL_A3,M_SUL,centre,654,Central European mixed forests,73.33000183,11.56157811,52.02835511,fresh,negative,NA,NA,NA,66,14,0,0.099
M_SUL_A4,M_SUL,centre,654,Central European mixed forests,73.33000183,11.56157811,52.02835511,fresh,negative,NA,NA,NA,76,4,0,0.099
M_TAN_A1,M_TAN,centre,654,Central European mixed forests,120.5999985,11.75682108,51.64052353,dry,restored,mga,11,grassland,26,27,2,1.209
M_TAN_A2,M_TAN,centre,654,Central European mixed forests,120.5999985,11.75682108,51.64052353,dry,restored,mga,11,grassland,20,25,5,1.209
